Documento|Fecha|Departamento|Municipio|Dia|Hora|Sitio|Agresor|Victima|Edad|Pais_nacimiento|Clase_empleado|Profesion|Escolaridad|Codigo_DANE
1425809280|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|19:00:00|VIAS PUBLICAS|A PIE|A PIE|20|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809281|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|18:30:00|ALMACENES|A PIE|BICICLETA|21|COLOMBIA|ESTUDIANTE|COMUNICACION SOCIAL|SUPERIOR|11001000
1425809282|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|19:30:00|CASAS DE HABITACION|A PIE|BICICLETA|20|COLOMBIA|EMPLEADO PARTICULAR|ESPECIALIZACION EN TECNICO PROF.EN TECNOLOGIA AUTOMOTRIZ|SECUNDARIA|11001000
1425809283|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|8:00:00|OTRO|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809284|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|9:00:00|VIAS PUBLICAS|A PIE|A PIE|16|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809285|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|4:00:00|VIAS PUBLICAS|A PIE|A PIE|23|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809286|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:00:00|LUGAR DE TRABAJO|A PIE|A PIE|23|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809287|1/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Lunes|0:58:00|VIAS PUBLICAS|A PIE|A PIE|31|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SUPERIOR|11001000
1425809288|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|10:00:00|VIAS PUBLICAS|A PIE|A PIE|73|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809289|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|10:00:00|VIAS PUBLICAS|A PIE|A PIE|-|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
1425809290|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|20:00:00|VIAS PUBLICAS|A PIE|A PIE|42|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|SECUNDARIA|11001000
1425809291|2/07/2019|CUNDINAMARCA|BOGOTA D.C. (CT)|Martes|18:30:00|VIAS PUBLICAS|A PIE|A PIE|15|COLOMBIA|EMPLEADO PARTICULAR|NO REPORTADA|NO REPORTADO|11001000
